#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,DJI_AIR_2S,_field,_measurement
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:35.952Z,1.7000000476837158,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:37.284Z,0.699999988079071,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:38.616Z,1.399999976158142,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:39.615Z,3.0999999046325684,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:40.947Z,-1.899999976158142,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:42.279Z,-4.599999904632568,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:43.611Z,-0.20000000298023224,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:44.943Z,-0.20000000298023224,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:45.942Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:47.274Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:48.606Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:49.938Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:51.27Z,1.7999999523162842,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:52.602Z,-3.299999952316284,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:53.934Z,1.5,Basic_metrics,VelocityY,Dji
